SITE_ID,VISIT_NO,DATE_COL,LON_DD,LAT_DD,E_I,RT
NLA06608-0001,1,7/31/07,-114.0218399,48.97902855,0.103,0.77
NLA06608-0002,1,6/14/07,-79.98379054,33.03606404,0.366,0.26
NLA06608-0003,1,8/29/07,-97.85986605,28.04774206,0.204,0.17
NLA06608-0004,1,7/10/07,-108.4045832,37.41662013,0.285,1.05
NLA06608-0005,1,7/18/07,-114.8403862,43.92920926,0.082,0.48
NLA06608-0006,1,7/17/07,-73.1465177,41.68314624,0.002,0.16
NLA06608-0007,1,7/24/07,-92.04001797,45.58064546,0.422,5.82
NLA06608-0008,1,7/12/07,-93.59040488,41.29211104,0.392,0.79
NLA06608-0010,1,7/17/07,-83.50588771,42.61823014,0.262,1.69
NLA06608-0012,1,6/13/07,-96.87178731,35.99078823,0.059,0.07
NLA06608-0013,1,9/4/07,-74.56255123,39.97428032,0.001,0
NLA06608-0014,1,8/6/07,-100.5756807,47.83492738,0.768,0.93
NLA06608-0015,1,7/10/07,-107.2747938,33.0071076,0.147,0.21
NLA06608-0016,1,6/27/07,-100.7797567,41.03025217,0.474,1.58
NLA06608-0019,1,6/11/07,-99.51185877,46.36688788,0.356,0.19
NLA06608-0020,1,6/11/07,-87.81380832,39.40817838,0.046,0.14
NLA06608-0021,1,7/27/07,-77.3095481,42.77191973,0.072,2.88
NLA06608-0023,1,8/9/07,-97.745332,31.14849172,0.026,0.08
NLA06608-0024,1,7/11/07,-95.48843409,32.1220497,0.209,0.7
NLA06608-0025,1,6/18/07,-81.34573084,35.20132137,0.176,0.42
NLA06608-0029,1,7/2/07,-75.21503793,38.75601051,0.101,0.06
NLA06608-0031,1,6/13/07,-81.51745185,39.77645357,0.035,0.06
NLA06608-0033,1,7/17/07,-121.2990598,47.31108363,0.116,0.15
NLA06608-0036,1,7/12/07,-88.32737922,37.47735404,0.199,0.4
NLA06608-0037,1,7/13/07,-73.36398551,41.69699293,0.009,0.18
NLA06608-0038,1,7/12/07,-71.86971736,44.79759122,0.197,1.61
NLA06608-0041,1,6/12/07,-80.85405519,38.22694093,0.098,1.47
NLA06608-0042,1,6/22/07,-107.0403753,44.45823517,0.049,0.64
NLA06608-0043,1,7/31/07,-85.44424168,41.553395,0.25,1.98
NLA06608-0044,1,7/18/07,-101.7024805,42.4048448,0.444,0.4
NLA06608-0045,1,6/26/07,-77.88986113,37.29320486,0.058,0.04
NLA06608-0048,1,8/2/07,-89.17572548,36.7872968,0.5,0.56
NLA06608-0049,1,8/15/07,-117.1533553,45.06232667,0.038,0.12
NLA06608-0050,1,7/2/07,-71.80868659,43.44601793,0.049,0.19
NLA06608-0053,1,8/23/07,-73.43960723,43.55819295,0.049,0.11
NLA06608-0057,1,6/16/07,-80.51686138,34.96189211,0.2,0.23
NLA06608-0061,1,6/12/07,-113.5793644,34.24558153,0.269,1.11
NLA06608-0062,1,8/9/07,-99.74629427,47.32067994,0.771,1.28
NLA06608-0064,1,6/18/07,-112.1680165,48.8940613,0.471,0.9
NLA06608-0065,1,7/17/07,-115.116608,48.96243381,0.078,0.72
NLA06608-0066,1,6/12/07,-79.38081778,39.76851425,0.038,0.31
NLA06608-0068,1,7/9/07,-107.8853911,37.82447614,0.027,0.57
NLA06608-0069,1,7/18/07,-81.13759704,28.63735951,0.339,0.39
NLA06608-0071,1,9/6/07,-91.50916933,31.66683993,0.583,0.9
NLA06608-0072,1,7/26/07,-98.40515204,32.23766222,0.151,0.29
NLA06608-0073,1,6/12/07,-118.878391,39.52477029,0.676,146.95
NLA06608-0076,1,7/27/07,-94.49793062,39.41441295,0.418,1.04
NLA06608-0077,1,9/8/07,-74.53388264,40.92704692,0.343,0.35
NLA06608-0078,1,8/8/07,-100.2942095,48.17781123,0.922,0.61
NLA06608-0079,1,7/12/07,-107.2317809,39.98585506,0.028,1.22
NLA06608-0080,1,9/9/07,-91.56105203,34.1200351,0.296,0.26
NLA06608-0081,1,7/3/07,-122.1241675,48.22612028,0.164,0.65
NLA06608-0083,1,6/13/07,-99.13645049,45.95096444,0.591,0.54
NLA06608-0085,1,7/10/07,-116.1414317,43.46045448,0.502,0.5
NLA06608-0086,1,8/2/07,-122.4260347,45.61657075,0.037,0.29
NLA06608-0089,1,6/17/07,-81.54174586,35.7733743,0.045,0.19
NLA06608-0090,1,6/26/07,-109.6534609,42.93075473,0.122,0.88
NLA06608-0091,1,7/10/07,-87.43213825,41.36944118,0.035,0.16
NLA06608-0099,1,7/3/07,-88.45255303,43.09951588,0.162,1.59
NLA06608-0101,1,8/21/07,-73.48227989,42.02167966,0.136,0.78
NLA06608-0102,1,8/3/07,-70.72328312,44.50713663,0.04,0.94
NLA06608-0104,1,6/22/07,-98.26265148,37.65529355,0.252,0.22
NLA06608-0105,1,7/5/07,-112.2015025,38.2350209,0.177,0.6
NLA06608-0107,1,6/25/07,-85.08175821,41.65016117,0.33,0.72
NLA06608-0110,1,7/31/07,-95.72856324,46.86973364,0.53,3.42
NLA06608-0111,1,8/1/07,-81.13692241,41.13540548,0.073,0.32
NLA06608-0112,1,7/9/07,-89.14408234,39.01266111,0.064,0.17
NLA06608-0113,1,7/16/07,-72.23412171,44.71864202,0,0.15
NLA06608-0115,1,7/18/07,-89.19099056,44.32355428,0.015,2.84
NLA06608-0116,1,6/28/07,-106.3013899,35.66653924,0.116,1.09
NLA06608-0120,1,6/18/07,-96.36834536,36.16292985,0.052,0.3
NLA06608-0124,1,7/19/07,-101.8094915,42.14001905,0.904,0.52
NLA06608-0126,1,6/21/07,-99.32424356,47.19305824,0.602,0.95
NLA06608-0127,1,7/11/07,-109.3063643,34.15364617,0.507,1.55
NLA06608-0128,1,6/21/07,-109.2416928,48.75289143,0.114,0.1
